n,Q,H
620,43.3711,197.009
620,45.5552,194.188
620,46.6748,192.308
620,48.5837,189.199
620,49.9602,186.813
620,51.5203,184.481
620,53.1172,181.805
620,55.1728,178.317
620,57.045,175.171
620,58.9171,171.899
620,60.8259,168.591
620,62.9183,165.03
620,65.3594,160.728
620,67.7638,156.715
620,69.4708,153.678
620,71.3062,150.461
620,73.2334,147.026
620,74.9036,144.225
620,76.6289,141.043
620,78.4093,138.115
620,80.7954,134.084
620,82.4105,131.246
620,84.4295,127.92
620,86.3567,124.666
620,88.3573,121.34
620,90.3763,117.779
620,92.5604,113.91
620,94.2674,110.747
620,96.2863,107.349
620,97.5711,104.132
620,99.7002,100.408
620,103.555,92.8894
620,105.023,89.8711
620,107.042,84.8472
620,108.529,80.5105
620,109.391,77.3305
620,110.364,72.543
400,2.67972,195.445
400,8.95687,190.053
400,12.3891,186.635
400,15.4359,184.065
400,17.5834,181.967
400,20.0061,179.706
400,22.282,177.698
400,24.9251,175.111
400,26.9991,173.338
400,29.7155,170.679
400,31.349,169.051
400,33.5515,167.386
400,35.5889,165.288
400,38.1952,163.117
400,41.9578,159.662
400,44.2521,157.473
400,46.8767,155.193
400,49.7033,152.39
400,51.9608,150.165
400,55.338,147.306
400,57.9627,144.72
400,60.4772,142.242
400,63.3588,139.781
400,66.2404,136.977
400,69.3423,134.318
400,73.3619,130.212
400,76.8492,127.191
400,80.5935,123.591
400,85.2921,118.563
400,88.0086,115.47
400,91.9547,110.877
400,95.699,105.941
400,99.7002,100.408
400,104.124,94.0625
400,107.079,89.3443
400,110.236,83.831
400,112.255,80.1617
400,114.053,76.583
210,3.27092,151.744
210,8.00663,149.435
210,12.9659,147.252
210,16.0423,145.772
210,20.7034,143.499
210,23.8543,142.002
210,27.4339,140.487
210,31.5543,138.61
210,35.9355,136.879
210,39.9254,135.129
210,44.9592,133.037
210,50.0864,130.601
210,53.9271,128.851
210,58.1592,127.101
210,61.9814,125.171
210,66.7357,122.934
210,70.6137,121.148
210,74.753,118.82
210,79.0226,116.727
210,84.411,113.822
210,88.7929,111.025
210,93.6784,107.416
210,96.9419,104.6
210,99.9256,102.29
210,106.006,95.7549
210,108.3,93.2637
210,111.266,89.5448
210,113.411,86.5478
210,115.482,83.4786
210,117.142,80.9871
210,118.541,78.1523
100,3.44175,117.743
100,6.54177,117.364
100,8.853,117.345
100,12.54,116.659
100,16.5756,116.261
100,20.4643,115.863
100,24.0413,115.538
100,29.3058,115.158
100,33.4329,115.121
100,36.533,114.688
100,40.1466,114.326
100,44.0354,113.946
100,49.2999,113.603
100,53.262,113.241
100,59.5721,112.482
100,64.6349,111.777
100,70.0463,110.495
100,75.3108,109.465
100,79.4198,108.291
100,82.7218,107.154
100,87.0142,105.691
100,91.857,103.885
100,99.6166,100.599
100,104.533,97.4391
100,108.147,94.6227
100,111.559,92.0951
100,114.88,89.1163
100,116.769,86.8597
60,1.64641,101.624
60,4.50777,102.671
60,9.42349,104.15
60,13.899,105.359
60,17.2373,106.117
60,20.9425,106.874
60,24.4276,107.541
60,28.7932,108.028
60,32.3333,108.641
60,36.0935,109.002
60,40.0739,109.38
60,46.659,109.686
60,55.8856,109.613
60,61.0767,109.052
60,66.5431,108.275
60,71.0738,107.913
60,76.687,106.775
60,82.7953,105.673
60,87.5097,104.373
60,92.3891,103.145
60,97.2869,101.646
60,104.79,98.6846
60,107.505,97.5109
60,110.88,95.94
60,112.971,94.9289
60,115.393,93.9899
60,117.209,92.7261
60,119.667,91.6065
60,121.006,90.3789
