index,Q,H
1,8.23303,11.2093
2,9.52411,11.2146
3,10.3777,11.2146
4,11.9889,11.1726
5,13.1306,11.1202
6,13.7708,11.0939
7,14.475,11.0677
8,15.1259,11.0153
9,15.8942,10.989
10,16.577,10.9418
11,17.2172,10.8789
12,17.6334,10.8474
13,18.6684,10.7372
14,19.554,10.6481
15,20.6743,10.5117
16,21.6026,10.3543
17,22.4136,10.2232
18,23.0751,10.0973
19,23.9394,9.93991
20,24.6756,9.75107
21,25.3692,9.58321
22,26.4255,9.27897
23,27.0977,9.04816
24,28.1434,8.67048
25,29.1144,8.24559
26,30.2774,7.67382
27,31.1097,7.15975
28,32.0807,6.49881
29,32.7422,5.92704
30,33.5318,5.26085
31,34.0973,4.64711
32,34.6735,3.98093
33,35.0683,3.51407
